Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year
289,Eastern Michigan,-11.42,97.1,108.5,68.1,-0.039,5.33,106.9,101.6,18.07,2021
290,Western Illinois,-11.43,98.0,109.4,71.5,-0.01,-0.67,104.0,104.7,-0.24,2021
291,Coppin St.,-11.69,91.0,102.6,76.8,0.073,-2.62,101.4,104.0,7.19,2021
292,FIU,-11.81,97.3,109.1,70.3,-0.09,-0.33,101.9,102.2,-7.66,2021
293,Jacksonville,-11.85,93.7,105.5,67.6,0.05,-4.53,100.4,104.9,-4.87,2021
294,New Mexico,-11.86,91.6,103.5,67.7,-0.039,3.6,104.6,101.0,-4.14,2021
295,NJIT,-12.08,94.2,106.2,68.2,0.024,-4.29,98.8,103.1,-0.5,2021
296,Louisiana Monroe,-12.16,93.2,105.4,67.1,-0.04,-3.63,99.7,103.3,-2.77,2021
297,North Florida,-12.34,101.9,114.2,66.5,0.036000000000000004,-1.84,100.7,102.5,4.38,2021
298,Towson,-12.35,99.0,111.4,65.8,-0.022000000000000002,-0.5,102.4,102.9,8.63,2021
299,Fairleigh Dickinson,-12.39,100.7,113.1,70.6,0.017,-6.04,98.9,104.9,3.84,2021
300,Nebraska Omaha,-12.44,94.6,107.0,70.7,-0.017,2.38,104.3,101.9,10.2,2021
301,St. Francis NY,-12.46,100.9,113.4,72.5,0.03,-8.66,97.1,105.7,-6.68,2021
302,William & Mary,-12.46,94.8,107.3,68.1,0.106,-0.79,103.1,103.8,0.32,2021
303,Robert Morris,-12.51,98.1,110.6,67.3,-0.053,-0.61,104.7,105.3,8.17,2021
304,Holy Cross,-12.55,97.2,109.8,69.1,-0.047,-2.51,102.0,104.5,-99.0,2021
305,Troy,-12.62,92.4,105.0,68.2,0.036000000000000004,-0.78,101.2,102.0,3.59,2021
306,Middle Tennessee,-12.66,91.2,103.9,69.2,-0.035,2.63,102.6,99.9,0.99,2021
307,Lamar,-12.82,93.1,105.9,67.5,0.009000000000000001,-4.23,99.3,103.5,2.64,2021
308,Southern,-12.84,91.5,104.3,70.6,-0.075,-12.47,93.4,105.9,17.22,2021
309,Fairfield,-12.92,94.9,107.8,64.3,0.005,-5.31,96.9,102.2,-0.56,2021
310,Fordham,-12.93,86.3,99.3,63.7,0.018000000000000002,6.28,105.8,99.5,-99.0,2021
311,Eastern Illinois,-13.22,95.5,108.7,68.9,-0.004,-3.67,100.9,104.6,2.66,2021
312,St. Francis PA,-13.27,94.7,108.0,68.5,-0.066,-5.49,99.9,105.4,13.07,2021
313,Tennessee Tech,-13.9,96.0,109.9,68.8,-0.055,0.13,102.4,102.2,10.77,2021
314,Howard,-13.94,98.2,112.2,69.5,0.102,-1.12,103.6,104.7,-1.12,2021
315,Manhattan,-14.18,89.5,103.7,67.1,-0.006,-7.27,96.6,103.8,-19.54,2021
316,Rider,-14.19,99.5,113.7,67.6,-0.040999999999999995,-4.09,97.4,101.4,10.52,2021
317,Northwestern St.,-14.21,96.7,110.9,70.8,0.077,-3.41,101.1,104.5,15.36,2021
318,Grambling St.,-14.24,92.1,106.3,69.8,0.036000000000000004,-10.43,94.0,104.4,8.61,2021
319,Northern Arizona,-14.31,98.4,112.7,63.9,0.038,1.69,103.4,101.7,12.79,2021
320,Tennessee St.,-14.65,90.2,104.9,71.2,-0.10300000000000001,-3.65,100.7,104.3,-2.67,2021
321,Portland,-14.72,97.1,111.8,71.0,0.054000000000000006,9.28,106.9,97.6,3.26,2021
322,USC Upstate,-14.75,94.8,109.5,68.3,-0.032,-2.37,100.6,103.0,7.84,2021
323,SIU Edwardsville,-14.8,92.6,107.4,68.2,0.008,-2.48,101.3,103.8,3.48,2021
324,Sacred Heart,-15.26,98.2,113.5,66.2,0.13,-7.28,98.1,105.4,22.79,2021
325,Binghamton,-15.31,97.2,112.5,65.9,-0.095,-4.07,98.4,102.4,-8.19,2021
326,Presbyterian,-15.46,90.6,106.1,65.7,-0.057,-6.62,99.0,105.6,-10.52,2021
327,Hampton,-15.71,94.9,110.6,70.4,0.11800000000000001,-7.39,98.6,106.0,-3.36,2021
328,Dixie St.,-15.71,91.3,107.0,73.1,0.07,-2.34,101.3,103.7,-2.47,2021
329,Cal Poly,-15.85,90.1,105.9,66.8,0.015,2.76,103.0,100.2,-0.1,2021
330,North Carolina Central,-16.21,93.3,109.5,65.9,0.033,-6.13,96.5,102.6,12.85,2021
331,Central Arkansas,-16.26,97.6,113.8,70.9,-0.018000000000000002,1.85,102.8,101.0,21.14,2021
332,Air Force,-16.51,94.4,110.9,62.8,0.027999999999999997,4.35,104.6,100.3,-2.18,2021
333,San Jose St.,-16.79,95.5,112.3,71.8,0.006,5.92,104.0,98.1,2.69,2021
334,Lehigh,-17.39,91.6,109.0,70.0,0.063,-5.82,101.0,106.8,-99.0,2021
335,Kennesaw St.,-17.57,87.8,105.4,69.3,-0.08800000000000001,-1.56,102.9,104.4,8.8,2021
336,Southeastern Louisiana,-17.92,92.9,110.8,68.6,0.043,-5.13,100.2,105.4,5.34,2021
337,Northern Illinois,-17.94,93.3,111.2,65.4,-0.003,2.98,105.4,102.4,-5.23,2021
338,Denver,-18.4,94.2,112.6,70.9,-0.105,-2.88,101.5,104.4,-5.27,2021
339,Charleston Southern,-18.49,89.8,108.3,69.6,-0.049,-3.32,100.8,104.1,1.74,2021
340,McNeese St.,-18.77,95.7,114.5,68.5,-0.09,-9.21,97.6,106.8,6.78,2021
